Id,SalePrice
2658,124504.4709148429
2718,160198.3695482651
2414,218107.2586266409
1989,99891.70534135491
625,168302.57641984633
333,92507.69341001238
1327,109181.16332511244
858,153483.45239050683
95,162771.42883584602
1568,170243.756853745
2482,155808.31419296146
1364,112859.35333100257
2584,143321.47733540498
818,294992.290389443
2673,145961.53700138297
2089,118032.81219382139
1297,148784.518707427
790,118582.04425726399
2616,184099.59282968316
720,195767.53918356405
222,159501.92418218125
557,129649.67795129938
1148,188444.99499414614
2766,163093.07672121382
534,186617.31038437074
1452,126946.54392208195
630,115595.84471044413
2648,112784.57757326435
125,167477.0561865354
1904,72039.42458058201
1670,112141.91921289431
756,89934.41280056453
717,195179.56318574885
1032,151057.30570322534
852,221239.36319998815
1731,170283.8190650641
2639,120072.54844304257
2071,88588.95229078042
1267,115807.5934531144
1851,194292.3308937562
567,146392.19297053202
2439,207849.0832012242
1898,145020.74650836125
647,164345.73639976184
2256,216880.63716800776
979,91612.07499160613
1444,225803.05014759485
2485,118918.1476602044
157,128331.34988244617
88,120186.14914521418
2003,106334.29552473642
186,192413.0633655869
1425,246577.79089699767
2695,125537.91333155893
738,101793.04787254446
395,161740.97531204147
1353,167884.27210680343
1878,136522.77058318508
390,155511.5491725089
1456,231145.62961810594
1103,300092.6883762124
1387,121038.37008382358
2070,152702.97162344973
1199,163441.14779635612
2479,172413.17596207955
501,313337.8109219012
2362,90605.46959130342
1718,198146.59386638712
2188,78386.7134861665
1483,153129.53237003696
2557,85431.37041602602
437,374473.25942136475
2224,206634.73498648778
1628,169095.3285452347
397,147093.1255659452
587,192779.90478848343
2182,906724.60335304
971,119496.37938372136
2611,141432.7688431294
1887,98433.67342528708
2399,366603.7861747303
2148,201541.53741611957
304,110098.31699246321
1997,130676.9419983859
2817,118256.29217503191
1431,192433.0690957159
427,343979.5736141332
263,127963.67738082213
598,167936.88195138518
2895,230265.68893946754
687,139806.1734777703
1822,140387.31754472738
2191,108241.18386896138
179,125026.73905874061
1009,212661.3887882727
2010,125495.1871086231
1991,140902.92658964437
1411,158609.86154182328
1721,239488.35763109976
1144,192526.16100960117
593,221763.4280481646
575,323445.986546558
1249,160769.53291179074
1604,120841.18396234924
1064,506292.77654430515
1923,158262.66196193907
1988,105217.88800630724
2325,166921.57079568788
114,202714.02380530868
2700,183217.70682170376
217,128130.69369043162
343,170504.29307041757
386,232903.5131238436
2005,116893.95513292425
2908,132606.5316855353
1814,235205.58560473865
2446,590824.6137850072
208,139337.3067340554
1679,105374.06532727122
822,327115.8429809453
6,194453.5990108461
1781,405130.3365771276
2397,281628.0883605283
2340,307843.2357024063
1618,177339.33723383618
2843,127894.35489118849
1061,373218.6264820396
2786,128491.56436698159
1935,137786.62219865006
1341,107433.31993155467
521,279029.83863173064
